Link,Info
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMzUyMTI=,Ahmed Kadous CEO Pharmacy marts
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMzU1ODQ=,Omar Alluhayyan CEO Blend
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMzMxMTE=,Shahzad Shahid CEO TPS worldwide
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjk1MTg=,Muhammed Eljack CEO Scalable Hacks Consulting
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjY2MDk=,MOHAMED ALAfif Managing Director and CEO Cash Solutions Company Limited
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjQ3NDY=,Amine Fassi Fihri CEO INDATACORE
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjM3NjU=,Mohamed Eldib ceo LWG Egypt .S.A.E.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjIxMTE=,Hussein Attar CEO Tech Invest Com
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjE1NTI=,Sergey Budnikov CEO Jefferson & Bennett Holding Ltd (Moneyport)
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjE0MDg=,Rajab Ali Virani CEO VeriEstate Tech Limited
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjA3NjI=,Tariq Alturkestani CEO saee
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQzMjA2NDM=,Abdullah Aldahash CEO Seulah Finance company
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyOTkxNDU=,Bassam Shhadat CEO 2P PR & Digital Marketing
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyOTkxNDM=,MOHAMMED ABBAS CEO CarZone
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyOTM0NzY=,Muhammad Nafey CEO eTaps.me
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyODY2OTQ=,Jason Robinson CEO Finserve.io
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzkwNzY=,Ghormallah Alghamdi CEO EdfaPay
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzgyNTE=,Ahmed Alghamdi CEO Human Resources Channels by Stc
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzcwOTM=,Mohannad Alsouqi CEO Talentspace.ai
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzYzNDM=,Joe Rabah CEO Connectiv
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzY3NDk=,Ali AlMeshal CEO PaymentsCo
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzY2MTQ=,Tarek Shaker CEO Smart Health medical Co.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNzMxNDU=,Faraz Quddusi CEO QBS Co
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjkyNTQ=,Omar Youssef CEO InnovatorsGate
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjc4ODI=,Mohammed Al Kuraimi CEO Tayseer Innovations LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjMzMTA=,Jaffer Hussain Syed CEO SecureMax
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNjM1MDA=,Veronica Studsgaard CEO IAMTN
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDUzNjA=,Bahaaddin Salim CEO NASS AL IRAQ HOLDING
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDUzNTk=,Muhammad Umar CEO WebSols Pakistan
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDUwNDM=,Fouad Nasseredin CEO Admireworks Advertising LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyNDQ5NzI=,Hyder Cohen CEO tcig
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTMzNDI=,Laith Nobani CEO & Managing Partner BLUNET Marketing & Communication Services
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTMyNDE=,mejdi Housseini CEO Twin c
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTI5Nzk=,Khaled Hafez CEO IBG TECHNOLOGY
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTE4OTg=,Ali AlShehri CEO Code95
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQyMTE3Nzg=,Ayman AlHaffar CEO DATALAB
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxODc0NjA=,Angus Chiu CEO MineSec SoftPOS
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxODYyMTU=,Diaa Yousef CEO Agri Soft
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxODY3MTc=,Mohammad Al Zayyat CEO Holland Acumen
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxODU1Nzc=,Ashish Kumar Singh CEO Loyyal
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxNTE0OTE=,Michael Hunter Ceo Holo
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMjg0ODY=,Firas Shabaneh CEO Bigfish Marketing Solutions
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMjA4MjQ=,Aravinda Korala CEO KAL
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTU5MjM=,Mohamed Awadallah CEO Glamera
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTQyMzg=,Qusai Alsaif CEO & Managing Partner Sadu Capital
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTMyMjY=,Farooq Cheema CEO Tablon B2B
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTI5MDY=,Atif Nimir CEO WE-14 for information technology
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTEyMDQ=,Archie Rudyuk CEO of Takefluence Admitad
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQxMTA4OTU=,Anna Gidirim CEO of Admitad Admitad
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwOTE2OTg=,Hytham ElSaiid CEO CROWZE
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwNjc1NjU=,Saravana Cavala Damodaram CEO Bytize Technology Solutions LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMjg3OTI=,Atheshamuddin Mohammed CEO OriginFuture Tech Pvt Ltd
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMjYxMjE=,Nono Ghannam CEO Stllr Network Inc.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDQ4MDY=,Mohammad Alyousef CEO Alamah
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDMxODQ=,Saady Lozon CEO Unit One Group
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDM5NDE=,Karim Hassoun CEO RAK GROUP SARL
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDIwMTg=,Andreas Khoshnou CEO Be1B
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDEwMDQ=,Mohammed Khumayes CEO Digital Solutions Holding
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQwMDA4NzA=,Ahmed Yassin CEO Avrio
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MjE3MzA=,Ozer Balkiz Ceo Brq Link Payment Services Inc.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTkyNTI=,Mohamed Elbeheiry CEO EyeGo
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTg3MDc=,Mohammed Albager CEO Durra Marketing Agency
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTg2OTU=,Riyaz Khan CEO masraf
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTg0MDk=,Ehsan Nehlawi CEO EASYTAKE App.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTMwMzQ=,Musaad AlGadi CEO Saudi Financial Technology - Alinma Bank
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTM5MjU=,Emad Hegazy CEO Geer Contracting Co.
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTI4MzA=,Amjad Shacker CEO Eventus
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MTE5OTU=,MOHAMMED Khalil CEO DAL SEEN
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDk2NTg=,Faeez Mushtaq CEO Collatree Arabia
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDgyMzk=,Ibrahim El hashmi CEO Smart solution
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDY3Mjg=,Ashish Saraf CEO OneSattva LLC
https://app.seamless-expo.com/event/seamless-saudi-arabia-2024/person/RXZlbnRQZW9wbGVfMzQ1MDY2ODU=,Abdulrhman Basha CEO IBrand
